rainfall,temperature,humidity,soil_type,crop_type,acres,water_required
69.85,22.61,89.03,clay,maize,4.95,522.13
71.41,24.3,88.81,clay,wheat,1.82,186.88
273.55,33.12,78.62,clay,maize,3.28,813.28
97.97,27.7,87.82,clay,maize,3.62,573.64
130.84,36.73,83.36,loam,rice,1.46,280.23
106.66,39.0,76.38,clay,maize,3.15,453.43
138.75,36.11,43.77,loam,maize,1.92,219.85
67.36,27.55,42.45,loam,sugarcane,4.34,564.71
179.76,35.77,81.88,sandy,cotton,3.72,669.23
66.9,27.03,64.48,sandy,rice,4.22,647.3
250.09,23.34,80.73,clay,rice,1.4,390.09
108.43,20.67,55.65,silt,rice,0.66,58.0
185.0,27.71,59.88,silt,rice,4.33,836.38
270.02,38.07,75.01,clay,sugarcane,2.24,412.15
212.72,24.78,85.77,loam,cotton,1.31,390.89
183.24,24.13,44.39,sandy,sugarcane,0.91,189.35
131.08,39.4,83.07,clay,rice,2.82,543.99
133.25,20.5,79.65,clay,cotton,1.18,261.89
217.37,35.72,55.78,loam,sugarcane,3.05,514.25
298.53,26.43,57.76,sandy,cotton,3.77,485.04
215.46,20.75,42.32,silt,sugarcane,2.91,397.76
189.45,38.36,40.79,silt,cotton,4.57,677.13
232.66,22.79,63.85,clay,sugarcane,1.2,321.83
166.3,31.04,44.78,clay,rice,2.72,410.09
65.04,25.48,49.7,clay,rice,1.23,136.45
190.57,21.3,82.34,clay,rice,4.44,426.26
289.41,21.0,68.55,clay,sugarcane,4.7,1043.58
93.83,22.31,71.68,silt,cotton,2.3,361.21
222.5,21.43,49.37,clay,cotton,1.88,466.9
100.23,35.21,81.43,sandy,wheat,1.76,316.47
183.96,29.71,83.4,loam,maize,4.37,489.84
74.17,26.86,66.17,silt,rice,3.57,531.75
162.59,28.37,85.63,loam,rice,4.46,403.37
239.04,38.58,82.24,loam,rice,1.03,364.42
136.89,38.22,76.57,clay,wheat,2.64,295.62
216.23,34.31,76.7,loam,wheat,3.54,645.44
248.86,37.69,45.27,sandy,wheat,4.54,971.72
281.79,26.39,53.54,clay,rice,2.22,614.28
108.66,27.62,43.34,silt,cotton,1.91,238.68
149.83,32.27,40.43,sandy,rice,4.61,610.92
88.1,32.47,47.92,silt,wheat,0.71,121.64
298.12,29.63,84.02,clay,wheat,2.66,727.1
281.75,28.01,51.99,clay,maize,2.56,596.68
184.99,39.72,88.51,silt,sugarcane,1.16,297.46
260.51,36.42,69.86,loam,maize,2.28,518.89
180.24,28.7,51.86,silt,maize,3.75,703.85
205.9,34.55,64.86,sandy,rice,2.15,508.58
72.28,25.39,50.95,loam,sugarcane,1.89,325.5
238.82,22.0,89.2,clay,sugarcane,4.02,488.31
81.93,27.05,82.36,sandy,rice,4.95,716.82
256.52,28.06,41.31,sandy,cotton,4.01,552.75
245.51,20.33,87.39,clay,rice,4.31,832.8
227.19,36.3,76.05,loam,cotton,4.73,397.63
59.04,27.18,44.12,clay,cotton,4.11,553.26
125.78,31.61,73.53,sandy,sugarcane,4.91,772.02
115.78,21.48,72.35,sandy,rice,3.86,599.18
140.03,23.5,50.94,sandy,rice,3.48,373.55
71.91,37.79,77.92,clay,sugarcane,3.62,491.58
284.24,32.17,44.35,silt,maize,4.55,888.09
188.45,39.01,64.47,sandy,rice,3.57,562.13
126.38,39.98,40.5,sandy,wheat,3.93,690.62
149.25,27.44,88.44,loam,wheat,1.47,207.62
161.8,25.98,77.58,silt,rice,4.61,671.74
200.15,37.17,47.94,loam,cotton,2.51,465.53
178.92,39.97,57.08,sandy,sugarcane,1.22,210.45
279.85,32.59,48.03,silt,cotton,4.1,767.53
174.24,35.9,78.33,loam,wheat,2.1,489.58
298.04,35.63,42.94,clay,wheat,1.33,394.36
262.86,27.11,82.02,loam,sugarcane,1.65,431.34
102.13,31.49,87.11,silt,wheat,0.66,185.58
282.65,36.66,73.83,loam,maize,0.91,447.48
79.09,33.76,50.65,silt,wheat,3.17,556.45
254.36,20.42,58.0,silt,cotton,4.4,500.88
145.16,26.73,63.86,loam,cotton,2.52,449.59
269.49,22.89,70.23,loam,maize,3.32,555.18
267.01,24.66,73.43,clay,cotton,4.14,803.99
251.48,38.11,67.71,loam,cotton,2.11,492.81
247.51,20.74,57.57,silt,cotton,3.44,470.22
126.17,24.4,84.55,sandy,rice,2.08,358.48
70.23,26.19,44.07,loam,maize,3.39,457.7
150.75,32.34,63.31,loam,maize,1.48,239.26
93.38,30.68,78.78,silt,wheat,4.9,416.7
223.74,24.37,43.04,sandy,maize,0.84,267.42
136.52,23.28,75.27,clay,sugarcane,2.77,321.71
293.9,24.74,80.99,sandy,maize,1.79,366.34
210.24,30.05,73.04,silt,sugarcane,3.2,376.43
255.62,25.42,40.65,silt,cotton,2.43,433.28
83.13,38.95,49.01,silt,sugarcane,1.88,215.98
265.5,29.28,57.11,silt,rice,1.63,418.32
280.69,21.18,51.68,sandy,cotton,1.32,361.32
171.77,34.59,88.13,sandy,sugarcane,4.02,573.89
201.56,26.58,72.58,sandy,cotton,1.5,374.83
241.2,33.07,54.85,loam,rice,3.98,689.08
93.71,25.59,86.48,silt,cotton,2.68,361.92
175.64,31.41,77.03,loam,cotton,0.83,218.75
149.67,35.44,54.23,loam,maize,1.24,251.45
86.59,38.56,58.94,loam,wheat,4.52,729.47
141.88,25.22,49.97,clay,sugarcane,3.21,463.39
67.04,26.7,88.55,loam,wheat,1.33,143.34
56.45,29.29,65.86,silt,rice,3.67,464.63
83.79,38.54,84.8,loam,rice,4.2,555.36
290.78,38.03,57.32,silt,cotton,1.99,478.82
187.38,21.8,83.04,clay,wheat,3.0,535.74
291.46,22.64,42.69,sandy,sugarcane,1.82,521.87
158.12,29.91,89.1,silt,sugarcane,0.86,152.26
127.95,22.13,85.6,loam,cotton,2.3,344.55
176.54,26.91,58.16,silt,sugarcane,3.88,668.93
159.88,22.97,78.74,loam,maize,2.56,448.3
76.42,32.72,77.61,sandy,wheat,2.32,218.4
210.21,38.99,85.06,silt,rice,2.15,533.68
104.01,39.93,55.36,loam,sugarcane,2.57,461.04
204.9,27.5,63.28,silt,sugarcane,1.93,533.43
212.55,31.98,83.25,sandy,sugarcane,3.25,419.91
88.01,37.13,78.93,sandy,cotton,0.79,165.61
65.34,22.35,59.67,sandy,rice,4.13,479.9
245.19,33.79,82.29,silt,wheat,1.28,403.89
164.95,28.18,42.35,silt,sugarcane,3.35,573.26
64.54,24.12,79.1,loam,maize,2.52,254.83
298.72,28.06,50.34,sandy,cotton,3.98,827.8
64.45,21.52,54.31,loam,wheat,4.22,614.17
223.76,33.91,64.66,silt,sugarcane,1.42,357.93
295.92,25.05,62.49,clay,wheat,3.55,481.8
109.8,26.23,66.03,sandy,cotton,1.35,266.29
85.56,22.42,67.24,loam,maize,1.06,229.43
80.35,37.29,56.58,sandy,sugarcane,4.69,650.64
125.82,29.87,48.76,loam,maize,1.24,270.98
75.26,31.44,78.42,loam,cotton,1.53,201.79
223.04,31.39,60.0,clay,maize,1.09,386.55
65.57,28.21,65.29,silt,cotton,2.62,367.32
177.36,23.85,72.23,sandy,maize,4.64,427.63
299.17,34.9,85.48,silt,wheat,1.69,474.01
253.49,22.54,75.38,loam,wheat,2.94,551.9
203.8,22.08,42.27,silt,cotton,2.35,373.25
126.56,34.2,81.93,clay,wheat,2.01,450.05
205.97,24.18,89.47,silt,maize,3.07,452.01
181.76,26.14,63.62,loam,maize,3.02,637.48
156.52,29.5,88.48,loam,sugarcane,2.12,297.46
82.68,28.99,67.37,clay,cotton,4.33,549.66
271.65,34.17,62.98,sandy,wheat,0.74,291.48
162.45,32.47,56.57,clay,cotton,0.88,285.09
98.66,32.89,72.88,sandy,wheat,4.96,546.38
141.94,34.28,51.49,loam,sugarcane,3.86,419.44
153.53,25.85,45.25,silt,maize,4.12,704.06
256.88,26.45,41.36,loam,maize,3.21,463.14
233.4,28.76,54.62,clay,rice,2.39,549.62
242.33,26.15,59.79,clay,cotton,3.33,554.33
52.76,39.7,67.6,silt,wheat,0.92,135.77
154.04,36.28,54.64,clay,rice,3.91,552.47
170.34,23.29,89.2,loam,cotton,2.93,411.52
54.8,20.11,54.59,silt,wheat,4.81,719.53
114.95,20.86,62.05,sandy,sugarcane,3.37,549.1
240.07,24.88,45.16,clay,cotton,1.18,313.64
84.28,22.29,53.03,sandy,wheat,2.65,316.06
183.83,30.67,42.42,silt,maize,0.76,211.78
103.8,37.16,67.98,clay,cotton,3.85,524.61
53.03,34.74,77.55,silt,wheat,2.76,348.05
110.3,24.31,49.79,clay,maize,2.16,317.0
293.97,27.99,58.4,clay,maize,4.86,950.35
250.38,30.16,40.83,clay,rice,4.73,559.66
289.89,36.2,81.98,silt,wheat,4.79,1019.59
171.96,36.78,79.0,silt,rice,1.49,406.58
77.43,38.19,43.16,loam,rice,3.78,565.45
186.99,30.18,58.24,loam,sugarcane,4.75,485.3
163.59,33.89,87.76,silt,rice,3.07,615.22
261.09,22.24,59.6,silt,rice,1.46,313.07
74.52,31.31,66.31,clay,sugarcane,4.18,412.1
172.06,24.97,57.76,loam,sugarcane,4.46,795.25
87.51,28.63,69.81,loam,cotton,3.66,455.79
131.17,32.68,88.91,silt,rice,1.82,295.8
234.34,25.14,89.88,loam,maize,1.36,329.48
169.0,21.04,78.74,silt,sugarcane,3.31,545.69
143.97,20.2,60.22,loam,wheat,2.67,450.1
148.62,20.44,64.72,sandy,cotton,3.51,634.58
164.86,20.17,57.84,sandy,cotton,1.0,231.54
246.25,22.21,89.28,loam,rice,1.11,329.13
273.02,24.79,75.39,silt,maize,2.13,308.66
288.83,24.42,62.45,sandy,sugarcane,1.66,401.75
246.73,39.74,40.61,clay,wheat,3.29,484.98
128.85,26.12,66.02,silt,rice,2.15,284.15
222.03,22.55,89.2,sandy,maize,3.58,590.33
159.4,30.91,66.15,clay,rice,3.96,395.38
113.67,37.16,49.12,sandy,rice,1.34,257.38
260.22,33.56,41.1,sandy,cotton,4.64,550.14
59.61,25.92,57.74,clay,wheat,4.04,570.79
275.44,31.23,85.91,clay,wheat,3.32,451.06
165.37,34.3,89.83,loam,wheat,4.59,454.36
209.3,34.56,87.27,sandy,wheat,1.7,434.87
214.84,33.33,76.47,clay,sugarcane,2.4,456.72
273.78,37.42,67.91,loam,sugarcane,0.89,342.33
209.17,37.4,69.53,clay,wheat,2.55,440.67
203.48,31.58,66.95,loam,maize,2.78,447.0
66.66,28.6,75.35,loam,sugarcane,3.27,395.95
179.6,32.83,60.94,clay,sugarcane,0.79,244.71
87.54,36.36,73.46,clay,maize,0.65,171.42
234.36,20.11,46.08,sandy,wheat,2.39,488.52
178.06,39.84,53.28,sandy,rice,1.35,371.7
220.06,23.66,81.8,loam,sugarcane,3.91,583.36
60.42,29.4,85.19,clay,rice,3.51,502.93
71.2,37.44,66.95,sandy,rice,1.97,317.85
229.08,24.5,41.58,loam,maize,0.71,331.82
68.02,29.54,86.35,sandy,wheat,1.32,176.81
67.81,22.65,75.1,loam,rice,3.61,269.79
53.03,27.9,60.7,sandy,wheat,4.96,713.26
289.13,23.54,69.92,clay,cotton,1.97,519.27
234.38,27.27,61.49,silt,wheat,4.11,732.08
138.31,27.47,63.27,silt,maize,4.4,524.35
124.13,39.86,84.34,loam,maize,0.72,205.13
137.43,39.9,48.05,silt,cotton,4.62,653.57
243.66,22.3,45.18,silt,maize,2.6,606.21
215.34,34.52,40.14,loam,wheat,4.84,506.37
96.3,21.03,55.7,silt,wheat,2.92,249.73
93.53,20.6,47.37,sandy,wheat,1.56,292.17
74.6,22.11,51.0,sandy,maize,4.89,568.63
215.08,39.31,40.56,sandy,wheat,1.59,373.81
241.09,38.82,51.36,clay,sugarcane,4.47,777.77
116.26,23.88,56.64,sandy,cotton,1.28,301.26
55.24,23.23,41.58,silt,sugarcane,3.54,472.68
70.54,24.81,70.4,silt,wheat,2.35,297.24
291.97,30.31,68.44,sandy,maize,4.87,758.91
123.86,31.39,44.85,clay,cotton,1.33,267.26
242.31,24.43,69.75,sandy,sugarcane,2.34,520.91
206.17,35.13,89.93,clay,wheat,3.38,401.87
145.48,26.19,87.22,clay,maize,4.9,609.66
101.42,38.44,40.13,sandy,wheat,1.87,273.54
80.35,33.13,79.77,clay,sugarcane,2.29,359.36
203.75,28.73,57.68,silt,sugarcane,2.58,439.75
243.66,35.8,43.18,sandy,cotton,1.64,374.1
210.98,36.36,54.8,silt,maize,4.18,458.81
182.58,25.81,56.09,clay,rice,0.91,313.07
60.49,26.79,66.16,loam,wheat,3.67,402.77
292.12,38.72,73.05,sandy,maize,2.9,468.22
249.68,23.29,77.45,loam,rice,1.59,378.92
123.21,20.84,52.3,loam,maize,2.72,311.54
294.99,29.08,56.09,loam,wheat,4.23,688.46
200.47,36.02,55.42,loam,wheat,2.5,536.43
195.61,35.43,58.14,silt,cotton,1.05,353.74
237.02,38.39,89.98,sandy,sugarcane,0.68,265.14
252.94,30.66,78.9,silt,sugarcane,4.0,652.93
214.12,22.0,88.75,clay,sugarcane,1.99,397.68
82.02,31.77,74.66,sandy,cotton,4.69,683.68
134.57,35.57,60.31,sandy,sugarcane,3.28,326.53
282.02,21.87,59.49,silt,maize,2.46,589.87
106.15,23.45,64.43,clay,sugarcane,3.04,531.93
143.04,20.25,60.84,loam,sugarcane,2.56,312.56
158.02,31.87,81.42,clay,wheat,4.58,499.84
159.85,37.73,63.25,silt,cotton,2.56,449.17
203.23,33.41,54.78,silt,cotton,0.97,287.24
285.77,39.64,78.74,silt,sugarcane,3.19,651.72
110.17,21.26,82.72,loam,rice,3.3,346.97
80.38,38.06,61.02,sandy,wheat,3.94,390.38
99.37,36.28,73.39,clay,sugarcane,4.7,729.41
271.73,26.28,42.94,clay,rice,2.49,430.67
211.45,39.47,66.47,loam,maize,2.08,520.47
121.48,25.76,42.25,silt,wheat,2.71,311.53
253.99,37.79,41.46,clay,cotton,4.55,898.84
265.34,37.61,70.65,sandy,rice,4.91,638.0
261.63,35.15,55.17,clay,sugarcane,4.87,620.38
279.73,31.27,77.13,silt,rice,1.53,398.14
113.06,22.4,84.8,clay,cotton,2.74,373.87
238.76,30.64,46.97,silt,maize,1.67,437.83
165.13,27.14,76.23,sandy,rice,2.16,336.61
260.5,35.84,65.73,loam,sugarcane,0.64,338.09
232.12,35.16,45.61,silt,rice,1.22,364.45
244.11,38.21,72.58,silt,maize,2.29,500.12
214.04,20.3,70.47,clay,rice,2.14,463.47
94.36,36.18,65.78,loam,maize,1.75,179.25
186.26,38.77,86.32,silt,maize,1.54,349.76
296.17,35.79,66.05,clay,wheat,3.87,539.06
284.35,22.6,89.53,sandy,wheat,1.83,375.2
60.79,21.63,65.46,loam,sugarcane,3.68,456.54
91.2,20.42,45.79,clay,sugarcane,2.16,322.48
82.93,32.57,63.52,loam,sugarcane,4.11,687.34
231.49,32.59,49.12,silt,maize,1.25,384.43
254.45,39.74,69.86,clay,maize,1.21,303.5
103.38,27.96,74.66,sandy,wheat,3.56,638.76
176.46,26.64,63.42,sandy,maize,4.62,683.05
260.18,32.49,44.89,clay,wheat,1.14,404.04
233.2,36.51,63.43,clay,rice,0.83,262.4
185.56,38.74,44.07,loam,sugarcane,4.71,453.66
197.59,36.06,74.11,clay,sugarcane,1.03,284.04
177.09,28.53,79.52,loam,cotton,1.63,237.31
124.39,32.7,88.12,silt,wheat,4.68,374.2
191.26,37.13,47.44,clay,cotton,4.11,459.59
222.22,29.81,66.62,silt,sugarcane,2.04,507.47
268.33,24.33,68.38,sandy,cotton,4.8,991.96
209.07,23.39,86.12,loam,rice,3.06,514.69
240.28,20.0,71.36,loam,cotton,0.83,302.03
90.02,34.36,47.28,sandy,rice,3.66,571.13
165.39,22.22,61.82,silt,sugarcane,2.92,332.95
52.33,24.88,72.74,loam,maize,3.08,360.6
111.67,25.96,75.01,sandy,wheat,4.97,875.77
231.62,31.21,83.15,sandy,cotton,1.19,432.46
297.95,27.96,49.03,sandy,rice,3.46,631.82
74.79,33.49,87.58,clay,sugarcane,2.56,243.03
150.37,21.11,42.96,silt,sugarcane,1.72,408.66
250.02,22.48,89.19,sandy,maize,3.62,646.64
101.01,29.98,82.89,silt,sugarcane,3.51,312.76
188.77,26.74,73.01,loam,sugarcane,4.35,567.66
233.27,25.92,76.75,clay,maize,4.45,671.49
204.0,21.34,43.63,sandy,sugarcane,3.03,309.32
97.01,37.91,42.07,sandy,rice,1.97,404.37
138.85,33.84,45.09,sandy,cotton,2.88,514.04
245.95,22.43,44.37,loam,cotton,2.12,356.55
188.56,21.3,67.37,clay,rice,1.75,389.58
51.31,39.5,50.77,silt,cotton,2.98,451.42
240.25,33.62,83.01,silt,sugarcane,3.46,695.35
58.83,28.35,62.29,silt,cotton,3.16,490.38
236.43,34.03,74.78,silt,cotton,4.79,734.89
100.62,35.13,72.64,silt,sugarcane,1.84,232.42
289.52,35.6,55.99,silt,cotton,2.18,475.1
141.99,29.56,52.16,silt,sugarcane,3.5,634.62
131.73,28.6,57.12,clay,maize,3.2,319.94
87.22,20.22,79.83,clay,maize,0.51,152.32
126.4,38.53,69.31,loam,cotton,1.91,360.37
269.16,32.07,52.68,sandy,maize,1.64,466.36
299.08,24.06,80.89,clay,cotton,4.28,911.99
142.08,38.39,42.74,sandy,maize,4.4,390.64
162.15,38.3,74.96,loam,cotton,1.78,319.82
230.52,39.78,61.96,clay,wheat,0.96,399.73
271.55,37.48,76.56,loam,rice,1.42,352.56
198.26,39.96,86.37,clay,maize,1.29,250.42
147.88,24.89,77.5,clay,sugarcane,1.57,339.11
153.16,36.84,62.1,silt,rice,1.56,266.12
223.9,36.46,47.55,sandy,cotton,2.66,654.93
50.8,24.62,80.32,loam,rice,1.94,177.41
204.9,21.97,63.04,silt,sugarcane,3.02,362.47
138.87,39.59,43.77,clay,sugarcane,2.05,296.26
248.55,25.92,75.95,clay,cotton,4.17,715.31
73.25,37.42,54.59,loam,maize,4.78,403.6
197.05,20.08,42.44,sandy,maize,2.32,350.85
170.24,20.42,85.14,loam,wheat,0.72,226.94
210.58,29.32,64.16,clay,sugarcane,1.58,318.01
66.21,24.77,54.05,silt,wheat,0.96,130.25
195.0,33.8,75.82,loam,sugarcane,2.05,443.11
190.37,31.31,84.3,silt,wheat,3.4,393.41
190.17,21.55,40.02,sandy,maize,2.84,434.97
200.87,23.25,74.39,sandy,sugarcane,1.59,314.23
219.12,27.76,78.35,silt,maize,3.95,717.38
251.25,23.71,50.5,sandy,rice,1.09,333.18
117.46,35.84,64.48,silt,maize,1.53,238.88
256.26,28.32,44.46,silt,sugarcane,3.54,678.19
174.56,21.87,77.34,silt,rice,1.39,346.04
69.26,29.69,82.37,sandy,wheat,3.55,460.5
64.64,21.82,45.41,silt,cotton,4.9,546.68
133.56,22.58,80.82,sandy,sugarcane,4.24,569.1
246.22,24.79,78.58,silt,cotton,1.22,400.09
226.92,37.19,57.35,silt,cotton,2.84,350.05
247.15,38.49,74.51,sandy,rice,2.4,436.74
179.32,36.53,40.0,silt,wheat,4.96,954.85
160.05,26.68,86.59,silt,maize,4.84,740.64
86.86,25.45,67.52,sandy,rice,1.07,125.33
132.05,30.98,71.02,clay,wheat,4.59,850.37
158.5,34.44,73.23,loam,maize,1.37,266.62
72.15,39.87,68.07,sandy,maize,1.94,257.82
105.15,22.63,82.84,silt,wheat,2.09,336.06
199.56,20.99,70.49,loam,maize,1.79,394.34
233.92,33.89,85.39,loam,sugarcane,4.34,649.68
299.59,36.64,69.12,silt,sugarcane,1.98,486.91
283.28,36.93,48.56,silt,rice,4.18,526.73
210.64,33.57,85.68,clay,maize,4.97,828.66
155.31,39.08,74.08,silt,maize,4.28,495.46
209.04,30.22,74.96,loam,wheat,2.06,485.18
246.41,38.28,89.27,silt,sugarcane,3.7,507.26
79.58,39.36,43.76,loam,cotton,2.9,346.72
152.48,36.94,61.43,sandy,rice,4.04,531.38
259.95,26.2,51.95,sandy,sugarcane,1.19,377.85
145.96,23.92,71.52,loam,wheat,3.37,535.18
192.97,30.96,80.34,sandy,rice,3.98,768.57
196.94,29.06,88.32,clay,cotton,3.93,613.8
96.12,37.56,62.73,loam,rice,4.84,799.13
140.56,22.0,79.31,loam,sugarcane,0.76,183.34
133.63,25.15,85.85,silt,cotton,2.06,346.14
56.55,35.04,74.17,clay,wheat,2.64,426.21
56.05,21.9,52.14,silt,rice,1.89,364.8
257.92,26.42,70.39,clay,sugarcane,1.89,525.45
118.27,27.74,88.5,clay,wheat,1.29,279.75
179.52,32.45,89.38,clay,cotton,4.16,697.32
124.68,23.16,72.12,loam,rice,4.59,367.52
285.17,37.21,84.35,sandy,maize,0.87,289.49
114.82,28.95,50.02,sandy,sugarcane,1.2,256.18
157.41,38.34,52.3,silt,sugarcane,1.53,366.23
268.18,29.36,87.64,silt,maize,2.79,487.79
260.48,25.5,46.76,sandy,wheat,4.06,701.27
96.53,22.84,49.56,sandy,sugarcane,0.82,161.36
250.66,20.07,61.03,clay,wheat,3.37,719.52
164.55,30.64,69.48,silt,cotton,1.17,206.47
170.74,22.14,70.19,silt,maize,4.87,663.95
83.37,27.83,54.6,silt,wheat,4.54,604.69
70.15,31.79,86.03,silt,cotton,4.77,484.69
231.98,25.51,85.75,sandy,rice,0.98,382.78
174.12,23.5,59.6,sandy,sugarcane,2.7,372.88
159.21,35.49,61.71,loam,maize,1.24,317.01
232.38,38.94,75.12,loam,rice,3.2,561.2
241.38,22.01,73.15,sandy,rice,1.55,385.03
89.73,23.11,59.11,clay,rice,3.97,442.12
202.56,39.2,60.71,sandy,wheat,3.4,438.25
83.84,20.76,57.4,clay,sugarcane,3.07,345.43
237.84,39.55,51.77,silt,maize,4.21,756.17
214.24,20.09,62.91,loam,sugarcane,2.75,575.45
289.15,37.47,74.32,clay,sugarcane,1.71,439.2
67.24,26.15,77.1,silt,sugarcane,3.29,454.22
64.26,38.77,78.94,sandy,cotton,4.81,480.89
120.55,26.34,58.74,loam,cotton,3.21,427.26
115.43,33.09,78.23,sandy,cotton,3.33,294.58
111.74,21.6,40.33,silt,cotton,4.71,365.91
276.56,24.85,63.85,silt,sugarcane,2.82,463.92
112.39,35.47,79.7,sandy,sugarcane,4.98,458.62
117.99,30.57,71.5,silt,maize,1.22,275.14
239.85,38.56,63.7,silt,maize,2.92,670.77
162.43,28.58,72.23,clay,maize,1.46,253.34
244.18,37.4,85.35,sandy,maize,2.54,467.1
66.34,28.98,68.32,sandy,maize,1.27,185.56
171.89,39.58,79.99,loam,cotton,1.5,263.99
58.4,39.2,89.04,clay,sugarcane,1.45,129.54
65.66,26.58,75.28,clay,maize,1.94,311.72
276.61,37.72,68.67,silt,wheat,1.11,371.34
84.81,36.95,41.87,loam,maize,4.14,386.64
183.11,24.21,58.72,loam,maize,1.49,373.59
152.77,32.49,68.27,clay,sugarcane,2.37,418.07
136.84,21.45,79.86,loam,cotton,0.57,188.39
274.96,36.73,61.91,clay,rice,0.97,326.7
55.46,23.49,88.0,loam,sugarcane,4.53,415.26
215.95,21.42,53.59,clay,cotton,4.27,767.6
290.85,28.0,77.23,clay,wheat,4.28,712.65
190.04,31.54,60.95,silt,rice,2.35,504.95
284.21,37.1,64.3,silt,cotton,1.14,454.65
63.06,39.48,80.13,loam,cotton,0.99,157.5
154.7,28.79,54.81,silt,sugarcane,3.23,399.94
115.04,21.21,44.84,sandy,cotton,4.23,560.96
232.71,34.98,66.01,sandy,maize,4.55,560.63
295.32,31.3,66.44,loam,cotton,1.8,351.79
114.13,28.96,79.86,clay,rice,1.94,302.64
213.54,26.19,88.42,silt,cotton,0.95,236.76
99.52,30.05,42.77,loam,wheat,3.98,473.19
191.33,26.77,69.58,sandy,maize,1.74,422.33
165.98,35.14,74.06,clay,rice,2.66,390.13
293.0,30.88,89.29,silt,rice,4.68,803.5
202.13,37.54,87.13,clay,sugarcane,3.88,473.71
137.38,30.87,75.62,clay,sugarcane,0.74,257.04
78.52,24.77,66.09,silt,maize,0.54,143.48
87.81,37.02,48.08,silt,rice,4.04,495.33
106.33,31.14,59.21,sandy,wheat,2.99,208.1
112.74,24.14,69.26,sandy,cotton,3.74,401.79
262.65,32.47,76.26,clay,cotton,1.21,365.91
190.31,27.15,71.77,clay,cotton,4.42,559.55
180.85,36.89,75.71,sandy,sugarcane,3.98,780.31
78.69,29.07,61.46,sandy,rice,4.51,719.6
265.03,34.53,76.38,clay,rice,2.03,490.16
230.7,21.91,47.19,loam,wheat,1.74,372.72
66.92,27.92,48.13,loam,sugarcane,1.18,231.26
226.96,39.66,48.14,loam,wheat,4.69,813.87
185.88,36.17,84.54,silt,rice,1.3,286.91
70.43,23.2,43.8,sandy,cotton,1.04,181.99
164.58,25.56,80.08,loam,sugarcane,1.37,324.7
171.17,26.6,51.68,loam,sugarcane,3.97,418.16
91.44,33.01,63.42,sandy,sugarcane,4.5,298.52
286.42,35.14,85.8,silt,cotton,4.15,693.78
262.49,34.99,69.3,loam,sugarcane,3.03,314.84
217.26,30.2,50.51,silt,maize,4.97,561.71
165.57,36.22,54.2,silt,sugarcane,0.81,280.19
152.94,28.74,86.02,clay,cotton,4.4,824.69
212.74,22.48,61.36,sandy,sugarcane,2.42,536.92
186.36,31.29,69.35,clay,maize,2.55,443.42
65.57,39.05,63.0,loam,maize,1.07,197.85
178.13,35.86,58.92,clay,sugarcane,0.65,197.32
251.6,31.57,51.16,sandy,rice,1.92,399.29
164.81,32.94,74.31,silt,rice,1.29,240.58
62.99,38.61,75.91,silt,wheat,2.68,374.86
246.57,28.57,53.74,loam,maize,1.16,309.13
100.34,26.63,79.45,sandy,rice,1.12,241.52
114.66,39.54,82.73,silt,wheat,4.45,682.21
91.18,37.27,86.03,loam,rice,4.65,459.69
132.55,26.46,48.06,sandy,sugarcane,4.84,753.31
239.19,29.28,55.2,sandy,maize,3.56,398.74
179.85,28.3,83.02,clay,rice,3.97,827.87
101.22,22.98,49.93,silt,sugarcane,4.26,604.83
269.46,39.16,40.17,sandy,wheat,3.47,774.2
269.9,28.09,83.54,silt,sugarcane,1.99,529.34
267.64,37.51,56.32,silt,wheat,1.2,380.6
109.7,23.79,60.72,sandy,rice,1.57,293.99
162.81,30.96,62.32,silt,cotton,4.28,637.13
296.25,20.48,82.41,clay,sugarcane,3.63,723.69
243.0,35.28,56.89,loam,cotton,2.55,508.19
56.79,31.62,84.61,loam,maize,0.63,105.16
66.3,32.51,70.85,sandy,cotton,1.7,222.26
165.98,21.03,66.36,clay,maize,3.78,472.81
277.31,24.22,56.28,loam,rice,2.81,619.14
184.68,21.49,52.19,clay,rice,2.46,274.8
174.45,25.78,71.2,sandy,sugarcane,1.91,346.42
76.37,32.55,62.34,clay,cotton,3.23,527.83
214.2,31.32,85.53,sandy,maize,4.85,477.25
255.53,32.24,64.58,loam,maize,4.56,603.6
145.11,30.99,65.59,loam,cotton,0.64,233.46
243.9,25.46,60.84,loam,rice,2.66,476.17
291.12,24.89,79.46,loam,rice,1.98,493.4
100.94,22.74,61.24,silt,maize,2.8,540.43
180.83,36.98,53.47,clay,sugarcane,3.23,567.31
121.78,32.33,83.1,clay,rice,1.4,301.04
248.21,23.73,69.84,clay,wheat,4.02,789.15
194.4,23.54,69.58,sandy,maize,2.64,381.36
208.65,37.46,70.54,loam,cotton,4.96,645.47
249.48,34.85,75.94,loam,cotton,0.61,310.75
148.99,33.19,55.65,silt,maize,1.35,231.73
278.77,28.14,41.69,silt,maize,3.6,798.9
183.26,25.24,80.53,loam,rice,3.63,627.69
89.49,39.59,46.45,clay,maize,3.12,556.36
223.97,35.94,76.09,clay,maize,4.87,997.96
248.32,26.04,44.12,loam,wheat,2.37,507.63
129.19,36.95,58.77,sandy,cotton,2.38,444.21
264.29,35.18,43.15,clay,rice,4.6,742.4
276.54,25.94,66.11,loam,sugarcane,2.92,700.08
